,Address,Price,Sqft,Bedrooms,Bathrooms
0,"419 W 55th St APT 4C, New York, NY 10019","$1,150,000","1,300",2,2
1,"128 Central Park S #11C, New York, NY 10019","$1,495,000",912,2,2
2,"320 E 42nd St APT 205, New York, NY 10017","$319,000",350,0,1
3,"19 Fiske Pl APT C4, Brooklyn, NY 11215","$995,000",--,2,1
4,"116 Pinehurst Ave APT D33, New York, NY 10033","$829,000",--,2,1
5,"72 Mercer St APT 4W, New York, NY 10012","$4,700,000","2,133",2,2
6,"230 Ashland Pl APT 20C, Brooklyn, NY 11217","$1,300,000","1,200",2,2
7,"131 W 28th St APT 6A, New York, NY 10001","$1,375,000",900,1,1
8,"920 E 17th St APT 616, Brooklyn, NY 11230","$650,000","1,300",2,2
9,"130 Lenox Ave APT 206, New York, NY 10026","$597,500",--,2,1
10,"222 E 83rd St #222, New York, NY 10028","$12,800,000","12,000",15,14
11,"309 Caton Ave, Brooklyn, NY 11218","$1,800,000","2,300",4,2
12,"201 E 21st St APT 11R, New York, NY 10010","$1,100,000",--,2,1
13,"235 Adams St #14ED, Brooklyn, NY 11201","$1,350,000","1,364",3,3
14,"205 E 63rd St APT 7E, New York, NY 10065","$599,000",900,1,1
15,"315 E 68th St APT 13J, New York, NY 10065","$698,000",--,1,1
16,"170 W 76th St PENTHOUSE 3, New York, NY 10023","$2,850,000","1,700",3,4
17,"22 Leroy St APT 8, New York, NY 10014","$730,000",475,1,1
18,"34 Crooke Ave #2B, Brooklyn, NY 11226","$595,000",758,1,1
19,"105 W 77th St APT 5C, New York, NY 10024","$679,000",429,1,1
20,"432 Park Ave APT 52C, New York, NY 10022","$20,150,000","3,576",3,4
21,"2728 Thomson Ave UNIT 426, Long Island City, NY 11101","$990,000",975,1,2
22,"53 Boerum Pl APT 6A, Brooklyn, NY 11201","$995,000",972,2,2
23,"12-15 Broadway #B6, Astoria, NY 11106","$612,000",680,1,1
24,"145 Sullivan St APT 1B, New York, NY 10012","$575,000",500,0,1
25,"220 E 65th St APT 22C, New York, NY 10065","$2,400,000","1,326",2,2
26,"370 Union St APT 3B, Brooklyn, NY 11231","$1,300,000","1,025",3,1
27,"22 W 15th St, New York, NY 10011","$2,599,000","1,400",2,3
28,"140 E 40th St APT 8F, New York, NY 10016","$400,000",425,0,1
29,"110 Livingston St APT 6D, Brooklyn, NY 11201","$1,525,000","1,206",2,2
30,"508 E 78th St APT 1M, New York, NY 10075","$349,000",330,1,1
31,"174 Pacific St APT G2, Brooklyn, NY 11201","$1,765,000","1,100",2,2
32,"1435 Lexington Ave APT 11E, New York, NY 10128","$2,750,000","1,700",3,3
33,"415 Beverly Rd #4A, Brooklyn, NY 11218","$559,000",800,1,1
34,"230 Jay St APT 10C, Brooklyn, NY 11201","$899,000","1,043",2,2
35,"234 W 20th St APT 2A, New York, NY 10011","$995,000",575,1,1
36,"444 E 86th St APT 6G, New York, NY 10028","$1,290,000",--,3,2
37,"330 E 33rd St APT 12B, New York, NY 10016","$985,000",860,1,1
38,"4307 31st Ave, Astoria, NY 11103","$2,999,000","5,686",8,8
39,"32 Gramercy Park S APT 5K, New York, NY 10003","$599,000",501,0,1
40,"12-15 Broadway #403, Astoria, NY 11106","$424,000",472,0,1
41,"210 W 19th St APT 2-G, New York, NY 10011","$899,000",710,1,1
42,"110 Livingston St APT 10I, Brooklyn, NY 11201","$985,000",819,1,1
43,"77 7th Ave APT 5L, New York, NY 10011","$835,000",600,1,1
44,"330 E 33rd St APT 20L, New York, NY 10016","$1,090,000",900,2,1
45,"299 W 12th St APT 1G, New York, NY 10014","$998,000",500,0,1
46,"245 E 87th St APT 5E, New York, NY 10128","$687,000",825,1,1
47,"145 E 48th St APT 34D, New York, NY 10017","$925,000",739,1,2
48,"230 Jay St APT 6F, Brooklyn, NY 11201","$599,000",675,1,1
49,"300 E 40th St APT 22H, New York, NY 10016","$649,000",650,0,1
50,"16 W 16th St APT 7AS, New York, NY 10011","$995,000",750,1,1
51,"68 E 93rd St APT 3R, New York, NY 10128","$995,000",850,2,1
52,"1623 3rd Ave APT 29J, New York, NY 10128","$915,000",835,1,1
53,"419 W 55th St APT 4C, New York, NY 10019","$1,150,000","1,300",2,2
54,"128 Central Park S #11C, New York, NY 10019","$1,495,000",912,2,2
55,"320 E 42nd St APT 205, New York, NY 10017","$319,000",350,0,1
56,"19 Fiske Pl APT C4, Brooklyn, NY 11215","$995,000",--,2,1
57,"116 Pinehurst Ave APT D33, New York, NY 10033","$829,000",--,2,1
58,"72 Mercer St APT 4W, New York, NY 10012","$4,700,000","2,133",2,2
59,"230 Ashland Pl APT 20C, Brooklyn, NY 11217","$1,300,000","1,200",2,2
60,"131 W 28th St APT 6A, New York, NY 10001","$1,375,000",900,1,1
61,"920 E 17th St APT 616, Brooklyn, NY 11230","$650,000","1,300",2,2
62,"130 Lenox Ave APT 206, New York, NY 10026","$597,500",--,2,1
63,"222 E 83rd St #222, New York, NY 10028","$12,800,000","12,000",15,14
64,"309 Caton Ave, Brooklyn, NY 11218","$1,800,000","2,300",4,2
65,"201 E 21st St APT 11R, New York, NY 10010","$1,100,000",--,2,1
66,"235 Adams St #14ED, Brooklyn, NY 11201","$1,350,000","1,364",3,3
67,"205 E 63rd St APT 7E, New York, NY 10065","$599,000",900,1,1
68,"315 E 68th St APT 13J, New York, NY 10065","$698,000",--,1,1
69,"170 W 76th St PENTHOUSE 3, New York, NY 10023","$2,850,000","1,700",3,4
70,"22 Leroy St APT 8, New York, NY 10014","$730,000",475,1,1
71,"34 Crooke Ave #2B, Brooklyn, NY 11226","$595,000",758,1,1
72,"105 W 77th St APT 5C, New York, NY 10024","$679,000",429,1,1
73,"432 Park Ave APT 52C, New York, NY 10022","$20,150,000","3,576",3,4
74,"2728 Thomson Ave UNIT 426, Long Island City, NY 11101","$990,000",975,1,2
75,"53 Boerum Pl APT 6A, Brooklyn, NY 11201","$995,000",972,2,2
76,"12-15 Broadway #B6, Astoria, NY 11106","$612,000",680,1,1
77,"145 Sullivan St APT 1B, New York, NY 10012","$575,000",500,0,1
78,"220 E 65th St APT 22C, New York, NY 10065","$2,400,000","1,326",2,2
79,"370 Union St APT 3B, Brooklyn, NY 11231","$1,300,000","1,025",3,1
80,"22 W 15th St, New York, NY 10011","$2,599,000","1,400",2,3
81,"140 E 40th St APT 8F, New York, NY 10016","$400,000",425,0,1
82,"110 Livingston St APT 6D, Brooklyn, NY 11201","$1,525,000","1,206",2,2
83,"508 E 78th St APT 1M, New York, NY 10075","$349,000",330,1,1
84,"174 Pacific St APT G2, Brooklyn, NY 11201","$1,765,000","1,100",2,2
85,"1435 Lexington Ave APT 11E, New York, NY 10128","$2,750,000","1,700",3,3
86,"415 Beverly Rd #4A, Brooklyn, NY 11218","$559,000",800,1,1
87,"230 Jay St APT 10C, Brooklyn, NY 11201","$899,000","1,043",2,2
88,"234 W 20th St APT 2A, New York, NY 10011","$995,000",575,1,1
89,"444 E 86th St APT 6G, New York, NY 10028","$1,290,000",--,3,2
90,"330 E 33rd St APT 12B, New York, NY 10016","$985,000",860,1,1
91,"4307 31st Ave, Astoria, NY 11103","$2,999,000","5,686",8,8
92,"32 Gramercy Park S APT 5K, New York, NY 10003","$599,000",501,0,1
